sex,age,L,M,S
M,175,3.6262 ,167.6831 ,0.0384 
M,176,3.6198 ,168.0013 ,0.0379 
M,177,3.6121 ,168.3195 ,0.0375 
M,178,3.6031 ,168.6377 ,0.0370 
M,179,3.5927 ,168.9558 ,0.0366 
M,180,3.5208 ,169.1812 ,0.0363 
M,181,3.4457 ,169.4066 ,0.0360 
M,182,3.3672 ,169.6319 ,0.0357 
M,183,3.2853 ,169.8571 ,0.0353 
M,184,3.1997 ,170.0824 ,0.0350 
M,185,3.1104 ,170.3076 ,0.0347 
M,186,2.9809 ,170.4684 ,0.0345 
M,187,2.8483 ,170.6294 ,0.0342 
M,188,2.7127 ,170.7906 ,0.0340 
M,189,2.5740 ,170.9520 ,0.0338 
M,190,2.4321 ,171.1137 ,0.0335 
M,191,2.2872 ,171.2756 ,0.0333 
M,192,2.1540 ,171.3949 ,0.0332 
M,193,2.0196 ,171.5145 ,0.0330 
M,194,1.8841 ,171.6344 ,0.0328 
M,195,1.7474 ,171.7546 ,0.0327 
M,196,1.6096 ,171.8752 ,0.0325 
M,197,1.4707 ,171.9960 ,0.0324 
M,198,1.3966 ,172.0897 ,0.0323 
M,199,1.3226 ,172.1836 ,0.0323 
M,200,1.2488 ,172.2775 ,0.0322 
M,201,1.1751 ,172.3716 ,0.0322 
M,202,1.1016 ,172.4658 ,0.0321 
M,203,1.0282 ,172.5600 ,0.0321 
M,204,0.9751 ,172.6404 ,0.0321 
M,205,0.9218 ,172.7207 ,0.0321 
M,206,0.8685 ,172.8009 ,0.0321 
M,207,0.8150 ,172.8812 ,0.0321 
M,208,0.7614 ,172.9614 ,0.0321 
M,209,0.7077 ,173.0416 ,0.0321 
M,210,0.6595 ,173.1222 ,0.0321 
M,211,0.6110 ,173.2027 ,0.0321 
M,212,0.5623 ,173.2832 ,0.0321 
M,213,0.5134 ,173.3636 ,0.0320 
M,214,0.4642 ,173.4440 ,0.0320 
M,215,0.4148 ,173.5244 ,0.0320 
M,216,0.3638 ,173.6037 ,0.0320 
M,217,0.3126 ,173.6830 ,0.0320 
M,218,0.2611 ,173.7622 ,0.0320 
M,219,0.2094 ,173.8413 ,0.0320 
M,220,0.1573 ,173.9204 ,0.0320 
M,221,0.1050 ,173.9995 ,0.0320 
M,222,0.0449 ,174.0764 ,0.0320 
M,223,-0.0155 ,174.1532 ,0.0320 
M,224,-0.0764 ,174.2300 ,0.0320 
M,225,-0.1377 ,174.3067 ,0.0319 
M,226,-0.1994 ,174.3833 ,0.0319 
M,227,-0.2615 ,174.4598 ,0.0319 
F,0,1.0000 ,49.1477 ,0.0379 
F,1,1.0000 ,53.6872 ,0.0364 
